PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",0,1756279012977,1756279017147,Shift,16, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",1,1756279017041,1756279017132,I,73, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",2,1756279017217,1756279017334, ,32, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",3,1756279017376,1756279017497,w,87, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",4,1756279017469,1756279017628,a,65, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",5,1756279017654,1756279017814,n,78, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",6,1756279018420,1756279018565,t,84, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",7,1756279020444,1756279021652,Backspace,8, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",8,1756279020945,1756279023964,Backspace,8, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",9,1756279021029,1756279031028,Backspace,8, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",10,1756279021112,1756279042600,Backspace,8, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",11,1756279021193,1756279042785,Backspace,8, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",12,1756279021276,1756279042937,Backspace,8, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",13,1756279021360,1756279043117,Backspace,8, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",14,1756279021447,1756279043297,Backspace,8, weekly, physical-keyboard
67450bce7a49cb1c784dcc2b,prompt-to-image,0,4,3,Write a list of names for baby boys that are Islamic. I would like them to have meaning derived from the Quran or good people of Islam.,"[8,52]","[114,135]",15,1756279021530,1756279048552,Backspace,8, weekly, physical-keyboard
